npsn,nama,bentuk_pendidikan_nama,jenjang_pendidikan_nama,alamat_jalan,rt,rw,nama_dusun,desa_kelurahan_nama,Column,lintang,bujur,kebutuhan_khusus_nama,status_sekolah_nama,status_kepemilikan_nama
20245048,SD NEGERI MARGAHAYU UTARA 3,SD,SD / sederajat,Jl. Cibolerang No. 185,2,7,Margasuka,Margasuka,Kec. Babakan Ciparay,-6.9519,107.5775,Tidak ada,Aktif,Pemerintah Daerah
20245095,SD NEGERI TEGALLEGA 2,SD,SD / sederajat,Jl. Pelindung Hewan No. 43,3,7,Pelindung Hewan,Pelindung Hewan,Kec. Astanaanyar,-6.9381,107.6032,Tidak ada,Aktif,Pemerintah Pusat
20245044,SD NEGERI KOPO ELOK,SD,SD / sederajat,Jl. Buana No. 8,3,5,Komplek Kopo Elok,Cirangrang,Kec. Babakan Ciparay,-6.9573,107.5827,Tidak ada,Aktif,Lainnya
20245166,SD NEGERI CIHAURGEULIS 2,SD,SD / sederajat,Jl. Surapati No. 82,3,4,,Cihaurgeulis,Kec. Cibeunying Kaler,-6.9,107.6294,Tidak ada,Aktif,Pemerintah Daerah
20245458,SD NEGERI BABAKAN SENTRAL 3,SD,SD / sederajat,Jl. Terusan Psm No. 02,1,5,Babakan Sentral,Sukapura,Kec. Kiaracondong,-6.9302,107.6539,Tidak ada,Aktif,Pemerintah Daerah
20245029,SD NEGERI DWIKORA 1,SD,SD / sederajat,Jl. Inhoftank No. 16,4,6,Pelindung Hewan,Pelindung Hewan,Kec. Astanaanyar,-6.9439,107.6029,Tidak ada,Aktif,Pemerintah Daerah
20245115,SD NEGERI BHAKTI WINAYA 2,SD,SD / sederajat,Jl. Pasirjaya VI No. 1,3,6,,Pasirluyu,Kec. Regol,-6.9406,107.6203,Tidak ada,Aktif,Lainnya
20245779,SD NEGERI SINDANGSARI 5,SD,SD / sederajat,Jl. Parakan Saat,1,23,,Antapani Tengah,Kec. Antapani,-6.9218,107.6633,Tidak ada,Aktif,Pemerintah Daerah
20245002,SD NEGERI BABAKAN CIPARAY 11,SD,SD / sederajat,Jl. Caringin No. 106,2,4,,Babakan Ciparay,Kec. Babakan Ciparay,-6.9449,107.5829,Tidak ada,Aktif,Pemerintah Daerah
20245270,SD NEGERI SUKAGALIH 5,SD,SD / sederajat,Jl. Sukagalih No. 108,3,3,Sukabungah,Sukabungah,Kec. Sukajadi,-6.8927,107.5924,Tidak ada,Aktif,Pemerintah Daerah
20245107,SD NEGERI BANDUNG BARU 2,SD,SD / sederajat,Jl. Bukit Raya Selatan No. 289,3,3,,Ciumbuleuit,Kec. Cidadap,-6.864,107.6072,Tidak ada,Aktif,Pemerintah Daerah
