npsn,nama,bentuk_pendidikan_nama,jenjang_pendidikan_nama,alamat_jalan,rt,rw,nama_dusun,desa_kelurahan,desa_kelurahan_nama,,lintang,bujur,kebutuhan_khusus_nama,status_sekolah_nama,status_kepemilikan_nama
20219517,SMP PASUNDAN 10,SMP,SMP / sederajat,Jl. Setrasari Tengah,1,1,,SUKARASA,Sukarasa,Kec. Sukasari,-6.874,107.5896,Tidak ada,Tidak Aktif,Yayasan
20219465,SMP KRISTEN TRIMULIA,SMP,SMP / sederajat,Jl. Dr.djunjunan No. 105,2,3,,PAJAJARAN,Pajajaran,Kec. Cicendo,-6.9016,107.5981,Tidak ada,Tidak Aktif,Yayasan
20219351,SMP NEGERI 16,SMP,SMP / sederajat,Jl. Phh. Mustopa 53,0,0,,NEGLASARI,Neglasari,Kec. Cibeunying Kaler,-6.8997,107.6423,Tidak ada,Aktif,Lainnya
20219203,SMP BPP,SMP,SMP / sederajat,Jl. Kartini No. 10 Bandung,2,3,,KEBON PISANG,Kebon Pisang,Kec. Sumur Bandung,-6.9185,107.6177,Tidak ada,Tidak Aktif,Yayasan
20219361,SMP SANTO ALOYSIUS 2,SMP,SMP / sederajat,Jl. Batununggal Indah II No. 30,2,5,Mengger,Mengger,Mengger,Kec. Bandung Kidul,-6.9606,107.64,Tidak ada,Tidak Aktif,Yayasan
20219350,SMP NEGERI 17,SMP,SMP / sederajat,Jl. Pacuan Kuda Arcamanik,3,4,Sukamiskin,SUKAMISKIN,Sukamiskin,Kec. Arcamanik,-6.9067,107.673,Tidak ada,Aktif,Lainnya
20219454,SMP INDONESIA RAYA,SMP,SMP / sederajat,Prof. Suria Sumantri No. 33 B,4,5,Sukawarna,Sukawarna,Sukawarna,Kec. Sukajadi,-6.8891,107.5809,Tidak ada,Tidak Aktif,Yayasan
20219433,SMP KARYA PEMBANGUNAN 10,SMP,SMP / sederajat,Jl. A.h. Nasution No. 25a,0,0,,PASIR ENDAH,Pasir Endah,Kec. Ujungberung,-6.9072,107.6884,Tidak ada,Tidak Aktif,Yayasan
20219358,SMP SWADAYA 1 BANDUNG,SMP,SMP / sederajat,Jl Pasir Koja No.181,7,5,,Jamika,Jamika,Kec. Bojong Loa Kaler,-6.926,107.5889,Tidak ada,Tidak Aktif,Yayasan
20247311,SMP SANTA URSULA,SMP,SMP / sederajat,Jl. Taman Anggrek No. 1,1,7,CIHAPIT,CIHAPIT,Cihapit,Kec. Bandung Wetan,-6.9129,107.6283,Tidak ada,Tidak Aktif,Yayasan
20219507,SMP MUSLIMIN 3,SMP,SMP / sederajat,Jl. Patuha No.36,9,2,Malabar,LINGKAR SELATAN---,Lingkar Selatan,Kec. Lengkong,-6.9244,107.6255,Tidak ada,Tidak Aktif,Yayasan
20269707,SMP KRISTEN BALA KESELAMATAN,SMP,SMP / sederajat,Jl. Gardujati No. 89,1,7,,Kebonjeruk,Kebon Jeruk,Kec. Andir,-6.9167,107.5982,Tidak ada,Tidak Aktif,Yayasan
20219460,SMP GANTRA,SMP,SMP / sederajat,Jl. Cinangka No.131,4,5,,Pasirwangi,Pasir Wangi,Kec. Ujungberung,-6.901,107.7046,Tidak ada,Tidak Aktif,Yayasan
20219468,SMP KRISTEN KALAM KUDUS,SMP,SMP / sederajat,Jl. Mekar Puspita No. 53 - 55,5,10,,Cibaduyut,Cibaduyut,Kec. Bojong Loa Kidul,-6.9505,107.6038,Tidak ada,Tidak Aktif,Yayasan
69725735,SMP YUDHISTIRA,SMP,SMP / sederajat,Jl. Trs. Borobudur 1-4 (depan TVRI) Cibaduyut ,0,0,Cibaduyut Kidul,CIBADUYUT KIDUL,Cibaduyut Kidul,Kec. Bojong Loa Kidul,-6.9584,107.5915,Tidak ada,Tidak Aktif,Yayasan
60725359,SMP IT BINA INSAN UNGGUL,SMP,SMP / sederajat,JL TERUSAN HALIMUN NO 37 LINGKAR SELATAN,3,5,,Lingkar Selatan,Lingkar Selatan,Kec. Lengkong,-6.927,107.6334,Tidak ada,Tidak Aktif,Yayasan
20219489,SMP PLUS SINDANG RESMI,SMP,SMP / sederajat,Jl. Cicukang No. 26,2,6,CIGONDEWAH KALER,Cigondewah Kaler,Cigondewah Kaler,Kec. Bandung Kulon,-6.9363,107.5673,Tidak ada,Tidak Aktif,Yayasan
20280601,SMP ALFA CENTAURI,SMP,SMP / sederajat,Jl. Palasari No. 9,0,0,Lingkar Selatan,tidak diisi,,Kec. Lengkong,0,0,"C1, D",Tidak Aktif,Lainnya
20219343,SMP NEGERI 21,SMP,SMP / sederajat,Jl. Caringin Gg. Lumbung II,5,3,,BABAKAN CIPARAY,Babakan Ciparay,Kec. Babakan Ciparay,-6.9453,107.5802,Tidak ada,Aktif,Pemerintah Daerah
20219510,SMP PANDU,SMP,SMP / sederajat,Jl. Pandu No. 6,2,3,,PAMOYANAN,Pamoyanan,Kec. Cicendo,-6.9054,107.5931,Tidak ada,Tidak Aktif,Yayasan
20219486,SMP PGRI 5,SMP,SMP / sederajat,Jl. Sarirasa Blok IV No. 100,0,0,Sukasari,SARIJADI,Sarijadi,Kec. Sukasari,-6.8782,107.58,Tidak ada,Tidak Aktif,Yayasan
20219482,SMP PELITA BANGSA,SMP,SMP / sederajat,Jl.soekarno Hatta No.391,0,0,,KARASAK,Karasak,Kec. Astanaanyar,-6.8954,107.6355,Tidak ada,Tidak Aktif,Lainnya
20219446,SMP MUHAMMADIYAH 1,SMP,SMP / sederajat,Jl. Banteng Dalam No. 6 Bandung,10,7,,Turangga,Turangga,Kec. Lengkong,-6.9328,107.6242,Tidak ada,Tidak Aktif,Yayasan
20219508,SMP PAHLAWAN TOHA,SMP,SMP / sederajat,Jl. Peta (Sukamulya I),1,9,Sukamulya 1,Suka Asih,Suka Asih,Kec. Bojong Loa Kaler,-6.9305,107.5982,Tidak ada,Tidak Aktif,Yayasan
20219197,SMP DEWI SARTIKA,SMP,SMP / sederajat,Jl. Kautamaan Istri No. 12,3,3,,Balonggede,Balong Gede,Kec. Regol,-6.9255,107.605,Tidak ada,Tidak Aktif,Yayasan
69899928,SMP KARYA BHAKTI,SMP,SMP / sederajat,Jl.Manglayang IV No.7D,3,6,Cilengkrang II,Palasari,Palasari,Kec. Cibiru,-6.9216,107.7163,Tidak ada,Tidak Aktif,Yayasan
