nama_aplikasi,pemilik,tautan,status,jenis_platform,kepemillikan
Sistem Informasi Manajemen Arsip,PDAM Tirtawening,,dioperasikan,desktop,sendiri
Sistem Informasi Manajemen Daerah Barang,K/L Pusat,,dioperasikan,web,dari pusat
Sistem Informasi Manajemen Daerah Keuangan,K/L Pusat,,dioperasikan,desktop,dari pusat
Sistem Informasi Manajemen Gaji,BKD,,dioperasikan,desktop,sendiri
Sistem Informasi Manajemen Hasil Pemeriksaan,Inspektorat,,diujicoba,web,sendiri
Sistem Informasi Manajemen Objek Pajak,Disyanjak,,dioperasikan,desktop,sendiri
Sistem Informasi Manajemen Objek Pajak versi Online,Disyanjak,,dibangun,web,sendiri
Sistem informasi manajemen Pendidikan,Disdik,,dioperasikan,web,sendiri
Sistem Informasi Manajemen Penggajian,PD Kebersihan,,dioperasikan,desktop,sendiri
Sistem Informasi Manajemen RS,RSKIA,,dioperasikan,web,sendiri
Sistem Informasi Manajemen Rumah Sakit Versi 2,RSKGM,,dioperasikan,web,sendiri
Sistem informasi monitoring loket,PDAM Tirtawening,,dioperasikan,desktop,sendiri
Sistem Informasi Monitoring Penerimaan KAS,PDAM Tirtawening,,dioperasikan,desktop,sendiri
Sistem Informasi Mutasi Pelanggan,PDAM Tirtawening,,dioperasikan,multiplatform,sendiri
Sistem Informasi Obat,K/L Pusat,,dioperasikan,web,dari pusat
Sistem Informasi Pelanggan,PDAM Tirtawening,,dioperasikan,desktop,sendiri
Sistem Informasi Pelanggan Potensial,PDAM Tirtawening,,dioperasikan,desktop,sendiri
Sistem Informasi Pencatatan Meter Update,PDAM Tirtawening,,dioperasikan,desktop,sendiri
Sistem Informasi Pencetakan Stiker,PDAM Tirtawening,,dioperasikan,desktop,sendiri
Sistem Informasi Pengujian,DISHUB,,dioperasikan,desktop,sendiri
Sistem Informasi Penilaian Kecamatan dan Kelurahan,BagPemUm,,dibangun,web,sendiri
Sistem Informasi Penilaian Kompetensi,BKD,,diujicoba,web,sendiri
Sistem informasi perencanaan dan monitoring,K/L Pusat,,dioperasikan,web,dari pusat
Sistem Informasi Puskesmas Tomi,Dinkes,,dioperasikan,web,sendiri
Sistem Informasi Realisasi Penerimaan Berdasarkan SPT,PDAM Tirtawening,,dioperasikan,desktop,sendiri
Sistem Informasi Reduksi,PDAM Tirtawening,,dioperasikan,desktop,sendiri
Sistem Informasi Rencana Umum Pengadaan,K/L Pusat,,dioperasikan,web,dari pusat
Sistem Informasi Reses Online,Bappeda,,direncanakan,web,sendiri
Sistem Informasi Rumah Sakit,K/L Pusat,,dioperasikan,web,dari pusat
Sistem Informasi Tagihan dan Rekening,PDAM Tirtawening,,dioperasikan,multiplatform,sendiri
Sistem Informasi TT,K/L Pusat,,dioperasikan,desktop,dari pusat
Sistem Kearsipan,BKD,,diujicoba,web,hibah
Sistem Kepegawaian,BKD,,dioperasikan,web,sendiri
Sistem Kepegawaian,Diskamtam,,dioperasikan,web,sendiri
Sistem Kepegawaian,DBMP,,direncanakan,web,sendiri
Sistem Kepegawaian,TU Setda,,dioperasikan,web,sendiri
Sistem Manajemen Persuratan,Bag Kesra,,dibangun,desktop,sendiri
Sistem Online Payment Point,PDAM Tirtawening,,dioperasikan,desktop,sendiri
Sistem Pemantauan Penagihan Keuangan (Metode LS),Bag Um Pal,,dibangun,desktop,sendiri
Sistem Pemasaran online produk IKM Sentara Indag,DInas KUKM Indag,,dibangun,web,sendiri
Sistem Pengaduan Gratifikasi,Inspektorat,http://e-gratifikasi.bandung.go.id,diujicoba,multiplatform,sendiri
Sistem perbendaharaan anggaran negara,K/L Pusat,,dioperasikan,web,dari pusat
Sitem Informasi Pelanggan Nol Kubik,PDAM Tirtawening,,dioperasikan,desktop,sendiri
Siti Kencana,BPPPKB,,dioperasikan,web,sendiri
SITT (Sistem Informasi Tubekolosis Terpadu),K/L Pusat,,dioperasikan,desktop,dari pusat
Smart Map PBB,Disyanjak,,tidak operasional,web,hibah
Smart PJU,DBMP,,diujicoba,web,sendiri
SmartDesk,Bakumham,,direncanakan,web,sendiri
SP3 Jabar,K/L Pusat,,dioperasikan,desktop,dari pusat
SPGDT,Dinkes,,tidak operasional,desktop,
SPMSPP,K/L Pusat,,dioperasikan,web,dari pusat
Standarisasi Pemasangan Meter,PDAM Tirtawening,,dioperasikan,desktop,sendiri
Survey Kepuasan Masyarakat,ORPAD,,dibangun,web,sendiri
Tapping Online,Disyanjak,,dibangun,multiplatform,hibah
TB-elektronik,K/L Pusat,,dioperasikan,web,dari pusat
Ujian/ tes online,Disdik,,dioperasikan,web,sendiri
Video Analytic,DISHUB,,dibangun,multiplatform,sendiri
Web Badan Kepegawaian Daerah Kota Bandung,BKD,,dioperasikan,web,sendiri
Web Bagian Pemerintahan Umum,BagPemUm,,diujicoba,web,sendiri
Web Bandung Tourism,Disbudpar,,dioperasikan,web,sendiri
Web BPLH,BPLH,,dioperasikan,web,sendiri
Web BPPKB,BPPPKB,http://jdih.net/web_bppkb,tidak operasional,web,sendiri
Web Dinas Kesehatan,Dinkes,,dioperasikan,web,sendiri
Web Dinas Pertanian dan Ketahanan Pangan,DPKP,,direncanakan,web,sendiri
Web Dinas Tata Ruang dan Cipta Karya,Distarcip,,dioperasikan,web,sendiri
Web Kapusarda,Kapusarda,http://kapusardakotabandung.com/,dioperasikan,web,sendiri
