RUAS JALAN,KELURAHAN,KECAMATAN,WILAYAH,JUMLAH
Jl. leuwi sari,Kebon Lega,Bojongloa Kidul,Tegallega,2
Jl. leuwisari12,Kebon Lega,Bojongloa Kidul,Tegallega,2
Jl. muara indah,Kebon Lega,Bojongloa Kidul,Tegallega,1
Jl. muara indah1,Kebon Lega,Bojongloa Kidul,Tegallega,2
Jl. muaraindah3,Kebon Lega,Bojongloa Kidul,Tegallega,1
Jl. uaraindah2,Kebon Lega,Bojongloa Kidul,Tegallega,1
Komplek Perumahan Mekarwangi,Kebon Lega,Bojongloa Kidul,Tegallega,58
Jl. Mekar Agaung Komp. Mekarwangi,Mekarwangi,Bojongloa Kidul,Tegallega,16
Jl. Mekar Agung,Mekarwangi,Bojongloa Kidul,Tegallega,7
Jl. Mekar Asri Komp. Mekarwangi,Mekarwangi,Bojongloa Kidul,Tegallega,1
Jl. Mekar Cemerlang Komp. Mekarwangi,Mekarwangi,Bojongloa Kidul,Tegallega,2
Jl. Mekar Elok Komp. Mekarwangi,Mekarwangi,Bojongloa Kidul,Tegallega,1
Jl. Mekar Indah Komp. Mekarwangi,Mekarwangi,Bojongloa Kidul,Tegallega,6
Jl. Mekar Jelita,Mekarwangi,Bojongloa Kidul,Tegallega,1
Jl. Mekar Kencana Komp. Mekarwangi,Mekarwangi,Bojongloa Kidul,Tegallega,16
Jl. Mekar Kencana Komp.Mekarwangi,Mekarwangi,Bojongloa Kidul,Tegallega,6
Jl. Mekar Laras Komp. Mekarwangi,Mekarwangi,Bojongloa Kidul,Tegallega,2
Jl. Mekar Lestari Komp. Mekarwangi,Mekarwangi,Bojongloa Kidul,Tegallega,2
Jl. Mekar Makmur,Mekarwangi,Bojongloa Kidul,Tegallega,5
Jl. Mekar Makmur Komp. Mekarwangi,Mekarwangi,Bojongloa Kidul,Tegallega,15
Jl. Mekar Mandiri,Mekarwangi,Bojongloa Kidul,Tegallega,7
Jl. Mekar Molek,Mekarwangi,Bojongloa Kidul,Tegallega,3
Jl. Mekar Murni,Mekarwangi,Bojongloa Kidul,Tegallega,6
Jl. Mekar Permai I Komp. Mekarwangi,Mekarwangi,Bojongloa Kidul,Tegallega,2
Jl. Mekar Permai II Komp. Mekarwangi,Mekarwangi,Bojongloa Kidul,Tegallega,2
Jl. Mekar Permai Komp. Mekarwangi,Mekarwangi,Bojongloa Kidul,Tegallega,9
Jl. Mekar Pratama Komp. Mekarwangi,Mekarwangi,Bojongloa Kidul,Tegallega,4
Jl. Mekar Sari,Mekarwangi,Bojongloa Kidul,Tegallega,9
Jl. Mekar Sari I,Mekarwangi,Bojongloa Kidul,Tegallega,12
Jl. Mekar Sejahtera Komp. Mekarwangi,Mekarwangi,Bojongloa Kidul,Tegallega,9
Jl. Mekar Sempurna Komp. Mekarwangi,Mekarwangi,Bojongloa Kidul,Tegallega,3
Jl. Mekar Setia II,Mekarwangi,Bojongloa Kidul,Tegallega,1
Jl. Mekar Setia III,Mekarwangi,Bojongloa Kidul,Tegallega,4
Jl. mekarkakmur,Mekarwangi,Bojongloa Kidul,Tegallega,3
Jl. mekarraharja,Mekarwangi,Bojongloa Kidul,Tegallega,7
Jl. mekarraharja1a,Mekarwangi,Bojongloa Kidul,Tegallega,12
Jl. mekarraharja2,Mekarwangi,Bojongloa Kidul,Tegallega,8
Jl. mekarsetia,Mekarwangi,Bojongloa Kidul,Tegallega,12
Jl. Muara Baru,Situsaeur,Bojongloa Kidul,Tegallega,6
Jl. Muara Baru IV,Situsaeur,Bojongloa Kidul,Tegallega,14
Jl. jln amung,Situsaeur,Bojongloa Kidul,Tegallega,1
Jl. luewi anyar-tg,Situsaeur,Bojongloa Kidul,Tegallega,1
Jl. muarabaru,Situsaeur,Bojongloa Kidul,Tegallega,2
Jl. pahglejar,Situsaeur,Bojongloa Kidul,Tegallega,1
Jl. tetm leuwi pahjang-tg,Situsaeur,Bojongloa Kidul,Tegallega,40
Jl. Anta Baru,Margasari,Buah Batu,Gedebage,4
Jl. Bahagia Permai,Margasari,Buah Batu,Gedebage,7
Jl. Cijaura Girang III,Margasari,Buah Batu,Gedebage,21
Jl. Cipaganti graha I,Margasari,Buah Batu,Gedebage,18
Jl. Cipaganti graha ciwastra,Margasari,Buah Batu,Gedebage,1
Jl. Ciwastra,Margasari,Buah Batu,Gedebage,30
Jl. Ciwastra Raya,Margasari,Buah Batu,Gedebage,31
"Jl. Galaxi Selatan,Jl.  Galaxi Selatan I",Margasari,Buah Batu,Gedebage,13
Jl. Komplek ciwastra indah,Margasari,Buah Batu,Gedebage,3
Jl. Manjah Lega,Margasari,Buah Batu,Gedebage,1
Jl. Marga Cinta,Margasari,Buah Batu,Gedebage,13
Jl. Margahayu Raya Barat,Margasari,Buah Batu,Gedebage,18
Jl. Margaluyu,Margasari,Buah Batu,Gedebage,4
Jl. Meteor Raya,Margasari,Buah Batu,Gedebage,5
Jl. Mulia graha I,Margasari,Buah Batu,Gedebage,4
Jl. Mulia graha II,Margasari,Buah Batu,Gedebage,6
Jl. Mulia graha III,Margasari,Buah Batu,Gedebage,9
Jl. Mulia graha IV,Margasari,Buah Batu,Gedebage,7
Jl. Pluto Raya,Margasari,Buah Batu,Gedebage,19
Jl. Ranca Bolang,Margasari,Buah Batu,Gedebage,12
Jl. Rancabolang,Margasari,Buah Batu,Gedebage,10
Jl. Saturnus Selatan,Margasari,Buah Batu,Gedebage,1
Jl. Setia graha I,Margasari,Buah Batu,Gedebage,4
Jl. Setia graha II,Margasari,Buah Batu,Gedebage,7
Jl. Setia graha III,Margasari,Buah Batu,Gedebage,10
Jl. Bunga Bakung,Margasenang,Buah Batu,Gedebage,3
Jl. Cijaura Hilir,Margasenang,Buah Batu,Gedebage,4
Jl. Cijaura Hilir II,Margasenang,Buah Batu,Gedebage,15
"Jl. Cijaura Indah,Cijaura Hilir, Cijaura",Margasenang,Buah Batu,Gedebage,18
